idProcesseur;proNom;proPerformances
;A9 - Dual-core 1.84 GHz Twister;3.68
;A9 - Dual-core 1.84 GHz Twister;3.68
;A9 - Dual-core 1.84 GHz Twister;3.68
;A10 Fusion Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr);9.36
;A10 Fusion Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr);9.36
;Exynos 8895 Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA;16
;Exynos 8895 Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA;16
;Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);7.5
;Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);7.5
;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53);15.6
;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53);15.6
;Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53);16.8
;Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53);16.8
;Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo);7.9
;Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);7.5
;Quad-core 1.3 GHz Cortex-A53;5.2
;Quad-core 1.2 GHz Cortex-A53;4.8
;Quad-core 1.2 GHz Cortex-A7;4.8
;Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57);14
;Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53);14.4
;Octa-core 2.0 GHz Cortex-A53;16
;Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72);9.2
;Octa-core 1.9 GHz Cortex-A53;15.2
;Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);7.5
;Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53);16.8
;Octa-core (4x2.3 GHz Cortex-A72 & 4x1.8 GHz Cortex A53);16.4
;Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53);15.6
;Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);7.5
;Octa-core 1.6 GHz Cortex-A53;12.8
;Quad-core 1.5 GHz Cortex-A53;6
