idSmartphone;smaDate;smaMarque;smaModele;smaOS;smaConstructeurs;smaTailleEcran;smaAutonomie;smaRAM;Idproc
;2015-09-25;Apple;iPhone 6s;iOS 9 (iOS 10.3.3);Apple;4.7;11;2;1
;2015-09-25;Apple;iPhone 6s Plus;iOS 9 (iOS 10.3.3);Apple;5.5;14;2;2
;2016-03-31;Apple;iPhone SE;iOS 9.3.2 (iOS 10.3.3);Apple;4;14;2;3
;2016-09-16;Apple;iPhone 7;iOS 10.0.1 (iOS 10.3.3);Apple;4.7;9;2;4
;2016-09-16;Apple;iPhone 7 Plus;iOS 10.0.1 (iOS 10.3.3);Apple;5.5;8;3;5
;2017-04-21;Samsung;Galaxy S8;Android 7.0;Samsung;5.8;14;4;6
;2017-04-21;Samsung;Galaxy S8+;Android 7.0;Samsung;6.2;16;6;7
;2017-06-09;Sony;Xperia XZ Premium;Android 6.0.1, 7.1.1, planned upgrade to 8.0;Sony;5.2;8;3;8
;2017-06-09;Sony;Xperia XZs;Android 7.1, planned upgrade to 8.0;Sony;5.2;9;4;9
;2017-04-10;Sony;Xperia XA1;Android 7.0, planned upgrade to 8.0;Sony;5;9;3;10
;2017-05-01;Sony;Xperia XA1 Ultra;Android 7.0, planned upgrade to 8.0;Sony;6;10;4;11
;2017-03-24;Huawei;Huawei P10;Android 7.0;Huawei;5.1;12;4;12
;2017-03-24;Huawei;Huawei P10 Plus;Android 7.0;Huawei;5.5;12;6;13
;2017-04-24;LG;LG G6;Android 7.0;LG;5.7;10;4;14
;2017-08-01;Asus;ZenFone 3 Deluxe (ZS570KL);Android 6.0.1;Asus;5.7;9;6;15
;2015-03-02;Motorola;Moto E 4G;Android;Motorola;4.5;13;1;16
;2015-02-01;HTC;Desire 620;Android;HTC;5;12;1;17
;2015-04-16;Microsoft;Lumia 640;Windows Phone;Microsoft Mobile;5;10;1;18
;2015-09-25;Sony;Xperia Z5 Compact;Android;Sony;4.6;13;2;19
;2015-04-10;Samsung;Galaxy S6;Android;Samsung Electronics;5.1;12;3;20
;2016-09-05;Lenovo;Moto Z Play;Android;Lenovo;5.5;18;3;21
;2016-01-27;Xiaomi;Redmi Note 3 Pro;MIUI;Xiaomi;5.5;13;3;22
;2017-02-03;Samsung;Galaxy A5;Android;Samsung Electronics;5;16;2;23
;2016-09-29;Xiaomi;Mi 5s;MIUI;Xiaomi;5.1;13;3;24
;2016-11-15;Huawei;Mate 9;Android;Huawei;5.9;11;4;25
;2017-04-20;Huawei;Honor 8;Android;Huawei;5.2;9;4;26
;2016-03-11;Samsung;Galaxy S7 Edge;Android;Samsung Electronics;5.5;15;4;27
;2016-06-14;OnePlus;OnePlus3;Oxygen=S;OPPO;5.5;13;6;28
;2016-06-01;Samsung;Galaxy J5;Android;Samsung Electronics;5.2;5;2;29
;2017-06-01;Archos;50 Saphir;Android;Archos;5;11;2;30
