IDValeur;valPrix;valDate;idSmartphone
;529;2015-09-25;1
;639;2015-09-25;2
;419;2016-03-31;3
;639;2016-09-16;4
;779;2016-09-16;5
;799;2017-04-21;6
;899;2017-04-21;7
;776;2017-06-09;8
;599;2017-06-09;9
;289;2017-04-10;10
;405;2017-05-01;11
;548;2017-03-24;12
;733;2017-03-24;13
;513;2017-04-24;14
;699;2017-08-01;15
;139;2015-03-02;16
;249;2015-02-01;17
;139;2015-04-16;18
;599;2015-09-25;19
;699;2015-04-10;20
;499;2016-09-05;21
;182;2016-01-27;22
;429;2017-02-03;23
;267;2016-09-29;24
;699;2016-11-15;25
;269;2017-04-20;26
;799;2016-03-11;27
;399;2016-06-14;28
;279;2016-06-01;29
;199;2017-06-01;30
;556;2017-09-15;1
;660;2017-09-15;2
;417;2017-09-15;3
;660;2017-09-15;4
;782;2017-09-15;5
;582;2017-09-15;6
;695;2017-09-15;7
;719;2017-09-15;8
;521;2017-09-15;9
;260;2017-09-15;10
;321;2017-09-15;11
;478;2017-09-15;12
;599;2017-09-15;13
;417;2017-09-15;14
;559;2017-09-15;15
;155;2017-09-15;16
;133;2017-09-15;17
;109;2017-09-15;18
;400;2017-09-15;19
;389;2017-09-15;20
;328;2017-09-15;21
;163;2017-09-15;22
;400;2017-09-15;23
;215;2017-09-15;24
;636;2017-09-15;25
;276;2017-09-15;26
;369;2017-09-15;27
;359;2017-09-15;28
;205;2017-09-15;29
;200;2017-09-15;30
